21	29	68
22	35	70
23	40	73
24	45	76
25	50	79
26	54	82
27	59	85
28	64	88
28	69	91
28	73	94
28	78	97
28	83	100
27	87	103
26	92	106
25	97	108
23	102	111
22	107	113
20	112	116
18	116	118
17	121	120
17	126	122
19	131	123
23	136	125
29	140	126
37	145	127
46	149	128
56	153	129
66	157	130
77	161	131
87	165	133
97	168	135
107	172	138
117	175	141
126	179	144
135	182	148
144	186	152
153	190	156
161	193	161
169	197	167
178	201	172
186	204	178
193	208	184
201	212	191
209	216	197
216	221	204
223	225	211
231	229	218
238	234	226
245	239	233
252	244	241
252	243	241
249	237	233
246	231	224
244	224	215
241	218	207
239	212	198
237	205	190
235	199	181
233	193	173
231	186	165
229	180	158
228	173	150
226	167	143
224	160	137
223	154	130
221	147	125
219	141	119
217	134	115
215	128	111
213	121	107
210	115	104
207	109	102
204	103	100
200	97	98
197	91	97
193	86	97
189	80	96
184	75	96
180	70	96
175	65	96
170	60	96
165	55	96
160	51	96
155	46	96
149	42	97
143	38	96
137	35	96
131	31	96
125	28	95
119	26	94
112	24	92
105	22	90
99	21	87
92	20	83
85	19	79
78	18	75
71	17	70
65	16	64
58	15	59
52	13	53
