253	254	204
248	252	201
243	250	198
238	248	195
232	246	192
227	244	189
222	242	187
217	240	184
211	238	182
206	236	179
200	234	177
195	233	175
189	231	173
184	229	171
178	227	170
173	225	168
167	223	167
161	222	166
156	220	165
150	218	164
145	216	164
139	214	163
134	212	163
129	210	163
124	207	163
119	205	163
115	203	163
111	201	163
107	198	163
104	196	164
101	193	164
98	191	164
95	188	164
93	186	164
91	183	164
89	180	164
87	178	164
86	175	163
84	172	163
83	170	163
81	167	163
80	165	162
79	162	162
78	159	161
77	157	161
76	154	160
75	151	160
74	149	159
74	146	159
73	144	158
72	141	158
71	139	157
70	136	156
69	133	156
68	131	155
68	128	155
67	126	154
66	123	153
65	121	153
65	118	152
64	116	152
64	113	151
63	110	151
63	108	150
62	105	150
62	103	149
62	100	149
62	97	148
62	94	147
62	92	147
62	89	146
62	86	145
63	83	144
63	80	142
64	78	140
65	75	138
65	72	135
65	70	132
66	67	128
65	65	124
65	63	120
65	61	116
64	59	111
63	57	107
62	55	103
61	53	98
60	51	94
59	49	90
57	47	86
56	45	82
55	43	78
53	41	74
52	40	70
50	38	66
48	36	62
47	34	58
45	32	55
43	30	51
42	28	48
40	26	44
