52	13	53
58	15	59
65	16	64
71	17	70
78	18	75
85	19	79
92	20	83
99	21	87
105	22	90
112	24	92
119	26	94
125	28	95
131	31	96
137	35	96
143	38	96
149	42	97
155	46	96
160	51	96
165	55	96
170	60	96
175	65	96
180	70	96
184	75	96
189	80	96
193	86	97
197	91	97
200	97	98
204	103	100
207	109	102
210	115	104
213	121	107
215	128	111
217	134	115
219	141	119
221	147	125
223	154	130
224	160	137
226	167	143
228	173	150
229	180	158
231	186	165
233	193	173
235	199	181
237	205	190
239	212	198
241	218	207
244	224	215
246	231	224
249	237	233
252	243	241
252	244	241
245	239	233
238	234	226
231	229	218
223	225	211
216	221	204
209	216	197
201	212	191
193	208	184
186	204	178
178	201	172
169	197	167
161	193	161
153	190	156
144	186	152
135	182	148
126	179	144
117	175	141
107	172	138
97	168	135
87	165	133
77	161	131
66	157	130
56	153	129
46	149	128
37	145	127
29	140	126
23	136	125
19	131	123
17	126	122
17	121	120
18	116	118
20	112	116
22	107	113
23	102	111
25	97	108
26	92	106
27	87	103
28	83	100
28	78	97
28	73	94
28	69	91
28	64	88
27	59	85
26	54	82
25	50	79
24	45	76
23	40	73
22	35	70
21	29	68
