18	36	20
18	38	22
19	41	24
20	43	26
21	45	27
22	47	29
22	49	31
23	52	32
23	54	34
24	56	36
24	58	37
25	60	39
25	63	41
25	65	42
26	67	44
26	69	45
26	72	47
26	74	48
26	76	50
26	78	51
26	80	53
26	83	54
25	85	55
25	87	57
25	89	58
24	92	59
24	94	61
23	96	62
22	99	63
21	101	64
21	103	65
20	105	67
19	108	68
18	110	69
16	112	70
15	115	71
14	117	72
13	119	72
11	122	73
10	124	74
9	126	75
8	129	76
7	131	76
7	133	77
7	136	78
8	138	78
9	140	79
11	143	79
14	145	79
17	147	80
20	149	80
24	152	80
28	154	81
33	156	81
38	158	81
43	160	82
48	162	82
54	164	83
60	166	84
65	168	85
71	170	86
76	171	88
81	173	90
86	175	92
91	177	94
96	178	96
100	180	99
104	182	101
108	184	104
112	186	107
116	188	110
120	190	112
124	191	115
128	193	118
132	195	121
135	197	124
139	199	127
142	201	131
146	203	134
149	205	137
153	207	140
156	209	143
159	211	147
163	213	150
166	215	153
169	217	157
173	220	160
176	222	164
179	224	167
183	226	171
186	228	174
189	231	178
192	233	182
196	235	185
199	237	189
202	240	193
205	242	196
208	244	200
212	247	204
215	249	208
