60	9	18
67	10	21
73	12	24
80	13	27
87	14	30
93	14	33
100	14	35
107	15	37
114	14	39
121	14	40
128	14	41
134	14	41
141	16	41
147	18	40
153	22	39
159	26	38
164	32	37
169	38	36
173	44	36
176	51	37
180	58	39
183	64	42
185	71	45
188	78	50
190	84	55
192	91	61
195	97	67
197	103	74
199	109	80
201	115	87
203	121	94
204	127	101
206	133	108
208	139	115
210	145	123
212	151	130
213	156	137
215	162	145
217	168	152
219	174	160
220	180	167
222	186	174
224	192	182
226	198	189
228	204	197
230	210	204
232	216	212
235	222	219
237	228	226
240	234	233
239	235	234
232	230	231
225	225	227
218	221	223
210	217	220
203	212	216
196	208	213
188	204	210
181	200	207
173	196	204
165	192	201
157	188	199
149	185	196
141	181	194
133	177	192
125	173	191
117	170	190
108	166	189
100	162	188
93	158	187
85	154	187
78	149	186
71	145	186
64	141	186
57	136	186
51	132	186
44	127	186
37	123	186
30	118	187
23	113	188
17	108	188
12	103	189
10	98	190
13	92	190
20	86	189
28	80	186
34	75	180
38	70	172
40	66	163
41	63	153
41	59	144
40	56	135
39	52	125
38	49	116
36	46	108
34	42	99
31	39	91
29	36	82
26	32	74
24	28	67
