0	0	0
0	0	0
1	1	1
2	2	2
4	4	4
6	6	6
9	8	8
11	11	11
14	14	14
17	17	16
19	19	19
22	22	22
25	24	24
27	27	27
30	29	29
32	32	31
34	34	34
37	36	36
39	39	39
42	41	41
44	43	43
46	46	46
49	48	48
51	51	50
53	53	53
56	55	55
58	57	57
60	60	60
63	62	62
65	64	64
67	67	66
70	69	69
72	71	71
74	74	73
76	76	76
79	78	78
81	81	80
83	83	83
86	85	85
88	88	87
90	90	90
93	92	92
95	95	94
98	97	97
100	99	99
102	102	101
105	104	104
107	107	106
109	109	108
112	111	111
114	114	113
117	116	116
119	119	118
122	121	121
124	124	123
127	126	126
129	129	128
132	131	131
134	134	133
137	136	136
139	139	138
142	141	141
144	144	143
147	147	146
150	149	148
152	152	151
155	154	154
158	157	156
160	160	159
163	163	162
166	165	164
168	168	167
171	171	170
174	174	173
177	176	175
180	179	178
182	182	181
185	185	184
188	188	187
191	191	190
194	194	193
197	197	196
200	200	199
203	203	202
206	206	205
209	209	208
212	212	211
215	215	214
218	218	217
221	221	220
225	224	223
228	228	226
231	231	230
234	234	233
238	238	236
241	241	240
244	244	243
248	248	246
251	251	250
255	255	253
