21	29	68
22	32	69
22	35	70
23	37	72
23	40	73
24	42	75
24	45	76
25	47	77
25	49	79
26	52	80
26	54	82
27	57	83
27	59	85
27	61	86
28	64	88
28	66	89
28	68	91
28	71	92
28	73	94
28	75	95
28	78	97
28	80	98
28	83	100
28	85	101
27	87	103
27	90	104
26	92	106
26	95	107
25	97	108
24	99	110
24	102	111
23	104	112
22	107	113
21	109	115
20	111	116
19	114	117
18	116	118
17	119	119
17	121	120
17	124	121
17	126	122
18	128	122
19	131	123
21	133	124
23	136	125
26	138	125
29	140	126
33	142	126
37	145	127
41	147	127
46	149	128
50	151	128
55	153	129
61	155	129
66	157	130
71	159	130
76	161	131
81	163	132
86	165	133
91	166	134
96	168	135
101	170	136
106	172	137
111	174	139
116	175	140
121	177	142
125	179	144
130	180	146
135	182	148
139	184	150
143	186	152
148	188	154
152	189	156
156	191	159
161	193	161
165	195	164
169	197	166
173	198	169
177	200	172
181	202	175
185	204	178
189	206	181
193	208	184
197	210	187
200	212	190
204	214	193
208	216	197
212	218	200
215	220	203
219	222	207
223	225	210
226	227	214
230	229	218
233	231	221
237	234	225
241	236	229
244	238	232
248	241	236
251	243	240
255	246	244
