233	246	171
231	243	168
230	240	164
228	237	160
227	234	156
226	231	152
224	228	149
223	225	145
222	222	141
220	219	138
219	216	134
218	213	131
217	210	127
215	207	124
214	204	120
213	201	117
212	199	114
211	196	110
209	193	107
208	190	104
207	187	101
206	184	98
205	181	95
204	179	93
203	176	90
201	173	87
200	170	85
199	168	83
198	165	80
196	162	78
195	159	76
194	157	74
193	154	73
191	151	71
190	149	70
188	146	68
187	144	67
185	141	66
184	139	65
182	136	64
180	134	63
178	131	62
177	129	62
175	127	61
173	124	61
171	122	60
169	120	60
167	118	60
165	116	60
163	113	59
160	111	59
158	109	59
156	107	59
154	105	59
151	103	58
149	102	58
147	100	58
144	98	58
142	96	58
139	94	58
137	93	58
134	91	57
132	89	57
129	87	57
126	86	57
124	84	56
121	83	56
118	81	56
116	79	55
113	78	55
110	76	54
108	75	54
105	73	53
102	72	53
100	70	52
97	69	51
94	67	51
92	66	50
89	64	49
86	62	48
84	61	48
81	59	47
78	58	46
76	56	45
73	55	44
70	53	43
68	52	42
65	50	41
63	49	40
60	47	39
57	45	38
55	44	37
52	42	36
50	41	34
47	39	33
44	37	32
42	36	31
39	34	30
37	32	28
34	31	27
