254	237	176
253	234	173
253	230	169
253	226	166
252	223	162
252	219	159
252	216	155
251	212	152
251	208	149
250	205	146
250	201	143
250	198	140
249	194	136
249	191	134
248	187	131
248	184	128
247	180	125
247	177	122
246	173	119
246	170	117
245	166	114
245	162	112
244	159	109
243	155	107
243	152	105
242	148	102
241	145	100
240	141	98
239	138	96
239	134	94
238	131	93
237	127	91
236	124	90
235	120	88
234	117	87
232	113	86
231	110	85
230	106	84
229	103	84
227	100	83
226	96	83
224	93	83
222	90	83
221	87	83
219	83	83
217	80	83
215	77	84
212	75	84
210	72	85
208	69	86
205	66	87
203	64	87
200	62	88
198	59	89
195	57	90
192	55	91
189	53	92
186	51	93
184	49	93
181	47	94
178	45	95
175	43	96
171	42	96
168	40	97
165	39	98
162	37	98
159	36	98
156	35	99
152	33	99
149	32	99
146	31	99
142	30	99
139	30	99
136	29	99
132	28	99
129	28	99
125	27	98
122	27	98
118	26	97
115	26	96
111	25	95
108	25	94
105	25	93
101	24	92
98	24	90
94	24	89
91	23	88
87	23	86
84	22	84
80	22	83
77	22	81
74	21	79
70	20	77
67	20	75
64	19	73
60	18	71
57	18	69
54	17	66
50	16	64
47	15	62
