24	28	67
26	32	74
29	36	82
31	39	91
34	42	99
36	46	108
38	49	116
39	52	125
40	56	135
41	59	144
41	63	153
40	66	163
38	70	172
34	75	180
28	80	186
20	86	189
13	92	190
10	98	190
12	103	189
17	108	188
23	113	188
30	118	187
37	123	186
44	127	186
51	132	186
57	136	186
64	141	186
71	145	186
78	149	186
85	154	187
93	158	187
100	162	188
108	166	189
117	170	190
125	173	191
133	177	192
141	181	194
149	185	196
157	188	199
165	192	201
173	196	204
181	200	207
188	204	210
196	208	213
203	212	216
210	217	220
218	221	223
225	225	227
232	230	231
239	235	234
240	234	233
237	228	226
235	222	219
232	216	212
230	210	204
228	204	197
226	198	189
224	192	182
222	186	174
220	180	167
219	174	160
217	168	152
215	162	145
213	156	137
212	151	130
210	145	123
208	139	115
206	133	108
204	127	101
203	121	94
201	115	87
199	109	80
197	103	74
195	97	67
192	91	61
190	84	55
188	78	50
185	71	45
183	64	42
180	58	39
176	51	37
173	44	36
169	38	36
164	32	37
159	26	38
153	22	39
147	18	40
141	16	41
134	14	41
128	14	41
121	14	40
114	14	39
107	15	37
100	14	35
93	14	33
87	14	30
80	13	27
73	12	24
67	10	21
60	9	18
