17	32	64
20	35	72
24	39	80
27	42	89
30	45	97
33	49	107
35	52	116
37	55	126
39	59	136
38	63	146
35	68	152
32	74	155
29	79	156
28	85	157
27	90	158
27	96	159
28	101	160
29	106	160
31	111	161
33	116	162
35	121	163
38	126	165
41	131	166
45	136	167
48	141	168
52	146	170
56	150	171
61	155	172
67	160	173
73	165	174
80	169	175
89	174	176
99	178	178
109	182	179
119	185	181
129	189	183
139	193	186
149	196	189
158	200	192
167	204	196
176	208	199
185	212	203
193	216	207
201	221	210
210	225	214
218	230	218
226	234	221
234	239	225
242	244	227
251	249	229
253	250	201
250	244	190
247	238	179
243	232	168
240	226	157
236	220	145
232	215	134
228	209	123
224	204	112
219	199	101
214	195	90
208	190	79
201	186	68
194	182	59
187	179	49
179	175	41
171	172	33
162	169	26
154	166	19
145	163	13
136	160	8
127	157	6
118	153	6
108	150	7
99	147	11
90	144	15
80	140	19
71	137	23
62	133	27
52	129	30
44	125	33
36	121	36
28	117	39
21	112	41
16	108	42
12	103	44
11	99	44
11	94	45
13	89	45
16	84	44
18	79	43
20	74	42
22	69	40
24	64	38
25	59	36
25	55	33
25	50	30
25	45	26
24	40	23
23	35	19
