253	239	154
249	237	149
245	236	144
240	234	139
236	232	134
231	231	130
226	229	125
222	228	120
217	227	116
212	225	112
207	224	108
201	223	104
196	221	101
190	220	98
184	219	96
178	218	94
172	216	92
166	215	92
159	214	92
153	212	92
147	211	94
141	209	95
135	208	97
130	206	99
125	204	102
120	202	104
115	200	106
111	198	108
107	196	111
103	194	113
99	192	115
96	190	117
92	188	118
90	185	120
87	183	122
84	181	123
82	178	125
79	176	126
77	174	127
75	171	128
74	169	129
72	167	130
70	164	131
69	162	132
67	160	133
66	157	133
64	155	134
63	153	134
62	150	135
60	148	135
59	146	135
58	143	136
56	141	136
55	139	136
53	136	136
52	134	136
50	132	136
49	130	137
47	128	137
46	125	137
44	123	137
42	121	137
40	119	137
38	117	138
36	114	138
34	112	138
32	110	139
30	108	139
28	105	140
26	103	140
23	101	141
21	99	141
19	96	142
17	94	143
16	92	144
14	89	145
13	86	146
12	84	147
12	81	149
13	78	150
14	75	151
16	72	153
18	69	155
20	66	156
23	62	158
26	58	160
30	54	161
33	50	162
37	45	163
40	40	162
43	36	160
45	33	157
46	30	152
46	29	146
46	28	139
46	27	133
45	26	127
44	26	120
43	25	114
42	24	108
