64	5	5
68	6	6
72	6	7
77	7	8
81	7	9
85	7	11
90	7	12
94	7	13
99	7	13
103	7	14
107	6	15
112	6	15
116	5	15
121	5	15
125	5	14
129	7	13
133	10	11
136	14	10
139	19	9
142	23	8
80	79	79
82	82	82
85	84	84
87	87	86
90	89	89
92	91	91
94	94	93
97	96	96
99	99	98
102	101	101
104	104	103
107	106	106
109	109	108
112	111	111
114	114	113
117	116	116
119	119	118
122	121	121
124	124	123
127	126	126
129	129	128
132	131	131
134	134	133
137	137	136
140	139	139
142	142	141
145	145	144
148	147	146
150	150	149
153	153	152
156	155	155
159	158	157
161	161	160
164	164	163
167	166	166
170	169	168
173	172	171
175	175	174
178	178	177
181	181	180
184	184	183
187	187	186
190	190	189
193	193	192
196	196	195
199	199	198
202	202	201
205	205	204
208	208	207
212	211	210
215	215	213
218	218	217
221	221	220
225	224	223
228	228	226
231	231	230
235	234	233
238	238	237
242	241	240
245	245	243
245	253	101
241	250	93
237	246	84
235	243	74
234	239	65
234	234	59
233	229	55
233	225	51
232	221	48
231	216	45
231	212	43
230	208	40
229	203	38
228	199	36
227	195	34
225	191	32
224	187	31
223	183	29
222	179	27
221	175	25
