255	253	205
253	250	200
251	247	194
250	243	189
248	240	183
246	237	178
245	234	172
243	231	167
241	228	161
239	225	156
237	223	150
236	220	144
234	217	139
232	214	133
230	212	128
228	209	122
226	206	116
223	204	111
221	201	105
218	199	100
216	197	94
213	194	89
210	192	83
207	190	78
204	188	73
201	186	68
197	184	63
194	182	58
190	180	53
186	179	49
182	177	45
178	175	40
174	174	36
170	172	32
166	170	29
162	169	25
158	167	22
153	166	18
149	164	15
144	163	13
140	161	10
135	159	8
131	158	7
126	156	6
122	155	6
117	153	6
112	152	6
108	150	8
103	148	9
98	147	11
94	145	13
89	144	15
84	142	17
80	140	19
75	138	21
70	137	23
66	135	25
61	133	27
57	131	28
52	129	30
48	127	32
43	125	33
39	123	35
35	121	36
31	119	38
28	117	39
24	115	40
21	112	41
18	110	42
16	108	42
14	106	43
12	103	44
11	101	44
11	98	44
11	96	45
11	94	45
12	91	45
13	89	45
15	86	44
16	84	44
17	82	44
18	79	43
19	77	43
20	74	42
21	72	41
22	69	40
23	67	39
24	64	38
24	62	37
25	59	36
25	57	34
25	55	33
25	52	31
25	50	30
25	47	28
25	45	26
25	42	25
24	40	23
24	37	21
23	35	19
